Age,IQ,Subject_ID
15.105032957555597,99.0,23
15.378823658254447,127.0,24
19.775902311477992,105.0,25
23.2995886294722,96.0,26
14.568403184185849,117.0,27
13.987966898704286,109.0,28
16.723135998685805,115.0,29
17.39392321539799,112.0,30
17.632121125005987,,31
30.34422335845363,102.0,32
22.190736291641855,105.0,33
23.143527930073855,129.0,34
24.05525096340103,97.0,35
16.720398091678817,79.0,36
20.186588362526265,91.0,37
25.604906329356524,109.0,38
14.316515739542906,116.0,39
12.985892934146491,121.0,40
19.395333237506588,84.0,41
20.34264906192461,140.0,42
19.948390452918268,123.0,43
21.550066052006542,127.0,44
22.595946528676155,129.0,45
18.464444855130495,117.0,46
18.40694880798374,107.0,47
15.326803425121666,90.0,48
18.91072369726962,117.0,49
21.076408139797532,115.0,50
14.946234351150263,111.0,51
13.4841920094184,94.0,52
15.173480632730309,104.0,53
20.140043943407463,,54
24.12917445258972,113.0,55
21.150331628986223,99.0,56
21.049029069727645,95.0,57
24.118222824561762,92.0,58
23.551476074115143,103.0,59
21.864925357810222,90.0,60
17.057160653538403,108.0,61
20.74785929895891,90.0,62
16.884672512098128,95.0,63
16.88193460509114,131.0,64
15.961997850743,92.0,65
21.29544070035661,95.0,66
23.970375846184385,91.0,67
18.261839736613346,81.0,68
22.06479256932038,118.0,69
18.669787880654635,104.0,70
22.508333504452523,73.0,71
23.836218402841947,111.0,72
23.24209258232544,81.0,73
