subj,percent_null
23,0.12001908192437057
26,0.07312521660312975
27,0.13973615343478354
28,0.1433907676481934
29,0.08901630471551317
30,0.09742881725593773
31,0.12751392052236638
33,0.11946497939331333
34,0.16319268260114833
35,0.07636204742605442
36,0.0759425931953033
37,0.11638386965705057
38,0.06733553067699356
39,0.14127168709469326
40,0.17300713784426833
41,0.08419119230603568
42,0.07066753845195842
43,0.058243323765248184
44,0.06496579147043852
45,0.1271315142731111
46,0.09167586623872365
47,0.1006983818136448
49,0.08919805634607976
53,0.10302026270310112
54,0.09200514925938241
55,0.13594749409246681
57,0.03758180856946664
60,0.1744205546743437
61,0.13183747330760598
62,0.07654368001768945
63,0.06948400858635634
66,0.1304227152142622
67,0.09621006774232187
68,0.11513883308870713
69,0.12411152969289105
70,0.10697581358394494
71,0.05092530759433056
